Customer ID,Date_col,Location,Customers,Units,Balance,Loan Applications,Overtime Hours,Overtime in Dollars,Turn Over Rate,Employee Name,Product Type,Revenue,Credit Card Decision Status,Credit Card Type,Deposit Account Status,Account Number
1,1/18/2023,Michigan,Duncan Sutton,5901,5006663,2,10,727,1,Dean England,Unsecured,-1262264,Approved,Consumer,Non-Interest Bearing,88029016
2,7/23/2022,Kansas,Willow Cleveland,2439,4779481,4,21,696,8,Odysseus Whitney,ED Loan,-1266181,Declined,Consumer,Non-Interest Bearing,80291885
3,10/5/2022,Kentucky,Ramona Poole,6978,3290667,3,13,1379,5,Coby Burris,Auto Loan,-1634310,Withdrawn,Consumer,Non-Interest Bearing,89445581
4,6/6/2023,Oklahoma,Brady Espinoza,6412,7128572,3,15,836,3,Jael Gilmore,ATV,-1410630,Approved,Consumer,Non-Interest Bearing,91875437
5,11/9/2022,Minnesota,Patience Brennan,7234,2949575,4,2,867,1,Jin Nunez,ATV,-1006210,Declined,Consumer,Non-Interest Bearing,79494713
6,10/26/2022,Colorado,Ivory Boyle,6976,6008180,4,10,932,3,Samantha Garcia,ATV,-842141,Withdrawn,Consumer,Non-Interest Bearing,95636678
7,8/28/2022,Florida,Tiger Diaz,9525,7135519,3,10,981,1,Samantha Garcia,ATV,-1505170,Approved,Consumer,Non-Interest Bearing,59539198
8,2/26/2022,Alaska,Nicole Whitley,4347,4507836,0,16,1034,1,Samantha Garcia,ATV,-1669305,Declined,Consumer,Non-Interest Bearing,78527256
9,10/25/2022,Michigan,Yen Clark,5646,7788872,2,5,792,4,Samantha Garcia,ATV,-653859,Withdrawn,Consumer,Non-Interest Bearing,90246650
10,7/18/2023,Hawaii,Jared Cameron,3695,7340818,1,18,882,6,Samantha Garcia,ATV,-1143590,Approved,Consumer,Non-Interest Bearing,88095212
11,11/26/2021,Nevada,Asher Campos,6162,6266322,5,4,1182,1,Samantha Garcia,ATV,-824866,Declined,Consumer,Non-Interest Bearing,77690597
12,12/21/2022,Maryland,Branden Calhoun,3275,6208973,4,21,1306,1,Samantha Garcia,ATV,-557852,Withdrawn,Consumer,Non-Interest Bearing,59306357
13,8/29/2023,Pennsylvania,Karen Bass,6665,6981660,0,12,1497,1,Samantha Garcia,ATV,-1586201,Approved,Consumer,Non-Interest Bearing,79996766
14,4/4/2022,Missouri,Josephine Sampson,2480,7287579,3,7,1022,1,Samantha Garcia,ATV,-403563,Declined,Consumer,Non-Interest Bearing,93242830
15,1/12/2023,Mississippi,Graiden Flowers,3125,8882894,1,5,1320,3,Samantha Garcia,ATV,-1107689,Withdrawn,Consumer,Non-Interest Bearing,86520567
16,3/3/2022,Arkansas,Chastity Dorsey,6734,2327966,3,2,1220,2,Samantha Garcia,ATV,-724358,Approved,Consumer,Non-Interest Bearing,84305896
17,4/27/2023,Nebraska,Echo Young,7666,1296279,4,20,777,6,Samantha Garcia,ATV,-1747133,Declined,Consumer,Non-Interest Bearing,87797767
18,5/5/2022,Utah,Keane Stevenson,8844,3804066,4,9,870,1,Samantha Garcia,ATV,-556843,Withdrawn,Consumer,Non-Interest Bearing,77258466
19,1/3/2022,Pennsylvania,Nomlanga Coffey,1598,4688994,3,19,104,8,Samantha Garcia,ATV,-1747914,Approved,Consumer,Non-Interest Bearing,80446896
20,7/29/2022,Arkansas,Troy Wilson,7572,3248372,3,4,141,2,Samantha Garcia,ATV,-1473807,Declined,Consumer,Non-Interest Bearing,96693712
21,11/9/2022,Kansas,Lucius Benjamin,9181,6435315,5,10,82,7,Samantha Garcia,ATV,-266049,Withdrawn,Consumer,Non-Interest Bearing,89365878
22,1/18/2022,Illinois,Kermit Holt,2232,8686303,1,16,782,1,Samantha Garcia,ATV,-613737,Approved,Consumer,Non-Interest Bearing,67209770
23,1/21/2022,Georgia,Len Smith,4033,6360389,3,10,847,1,Samantha Garcia,ATV,-1375252,Declined,Consumer,Non-Interest Bearing,96507275
24,8/8/2022,Mississippi,Ross Joyner,2063,2379276,4,8,821,2,Samantha Garcia,ATV,-615254,Withdrawn,Consumer,Non-Interest Bearing,77469229
25,7/30/2023,Montana,Wynne Chavez,1971,2651374,4,4,179,6,Samantha Garcia,ATV,-566601,Approved,Consumer,Non-Interest Bearing,62823473
26,7/21/2022,Maryland,Keefe Vance,2454,1530081,4,23,729,1,Samantha Garcia,ATV,-958062,Declined,Consumer,Non-Interest Bearing,94335508
27,6/30/2023,Indiana,Dante Sawyer,5692,8581969,3,19,1377,2,Jin Nunez,ATV,-1554364,Withdrawn,Consumer,Non-Interest Bearing,71279938
28,3/20/2023,Montana,Reed Bryant,3097,3260529,1,8,551,5,Samantha Garcia,ATV,-525682,Approved,Consumer,Non-Interest Bearing,65295194
29,3/1/2022,Hawaii,Owen Walters,3353,4074900,3,22,100,1,Veda Melendez,ATV,-1358459,Declined,Consumer,Non-Interest Bearing,84142977
30,1/5/2022,Washington,Acton Wright,2157,3501603,0,7,1227,2,Meghan Small,ATV,-1516894,Withdrawn,Consumer,Non-Interest Bearing,92481488
31,11/16/2022,Indiana,Rebekah Baker,4317,2024519,3,2,1025,5,Dominique Vargas,ATV,-770096,Approved,Consumer,Non-Interest Bearing,77527698
32,1/6/2023,Vermont,Keith Richardson,1476,6256681,1,15,225,1,Wang Pearson,ATV,-1716124,Declined,Consumer,Non-Interest Bearing,90397693
33,3/18/2022,Maryland,Calista Vinson,7553,5361990,1,8,1200,3,Tanisha Mccray,ATV,-196372,Withdrawn,Consumer,Non-Interest Bearing,69396556
34,3/16/2023,Pennsylvania,Jonah Stone,6028,9006536,2,15,463,0,Samuel Manning,ATV,-1205828,Approved,Consumer,Non-Interest Bearing,78301286
35,8/19/2022,Kentucky,Cailin Underwood,2059,6468631,3,16,231,3,Odette Pierce,ATV,-1808003,Declined,Consumer,Non-Interest Bearing,89882346
36,8/10/2022,Georgia,Eliana Gutierrez,9520,8684565,3,1,113,2,Talon Harris,ATV,-1414572,Withdrawn,Consumer,Non-Interest Bearing,58466613
37,7/14/2022,Virginia,Michael Whitaker,7754,3117563,4,14,523,1,Jaime Larson,ATV,-1660034,Approved,Consumer,Non-Interest Bearing,85113125
38,4/14/2023,Minnesota,Dorothy Abbott,7980,7456689,2,19,1022,7,Dean England,ATV,-1161516,Declined,Consumer,Non-Interest Bearing,82190843
39,3/6/2023,Delaware,Jada Guerrero,4252,3145048,4,19,882,1,Dean England,ATV,-1196433,Withdrawn,Consumer,Non-Interest Bearing,63094997
40,5/30/2023,Alabama,Vivian Edwards,5828,4839993,3,14,1060,8,Dean England,ATV,-629750,Approved,Consumer,Non-Interest Bearing,84784711
41,12/19/2022,Maryland,Winifred Roman,3949,5185333,1,10,468,1,Dean England,ATV,-1321987,Declined,Consumer,Non-Interest Bearing,84794405
42,7/9/2022,Hawaii,Russell Decker,6675,3429133,1,20,298,4,Dean England,ATV,-1067475,Withdrawn,Consumer,Non-Interest Bearing,70201474
43,4/22/2023,Tennessee,Quail Good,5730,4490071,0,7,1458,3,Dean England,ATV,-644413,Approved,Consumer,Non-Interest Bearing,74992445
44,6/20/2023,Montana,Arthur Bray,8481,1510701,0,19,106,0,Dean England,ATV,-207293,Declined,Consumer,Non-Interest Bearing,82282059
45,4/8/2023,Arkansas,Lael Ayala,3374,8599710,2,7,428,7,Dean England,ATV,-950466,Withdrawn,Consumer,Non-Interest Bearing,66437127
46,6/13/2023,Iowa,Isabella Sutton,1427,3105127,1,1,1019,3,Dean England,ATV,-1585588,Approved,Consumer,Non-Interest Bearing,58387764
47,12/15/2022,Massachusetts,Finn Mills,9053,5255764,4,6,871,4,Dean England,ATV,-1152146,Declined,Consumer,Non-Interest Bearing,79967493
48,5/31/2023,Colorado,Chava Sparks,1462,5178737,4,22,1170,5,Dean England,ATV,-554189,Withdrawn,Consumer,Non-Interest Bearing,81240751
49,2/26/2023,Missouri,Regan Mendez,2153,3859192,3,23,924,5,Dean England,ATV,-1764594,Approved,Consumer,Non-Interest Bearing,92736965
50,2/14/2023,Ohio,Madaline Daniels,8549,2722532,1,5,512,2,Dean England,ATV,-278350,Declined,Consumer,Non-Interest Bearing,96544450
51,12/20/2021,Washington,Acton Herman,2137,2367812,4,17,900,7,Dean England,ATV,-213146,Withdrawn,Consumer,Non-Interest Bearing,75376629
52,8/28/2022,Arkansas,August Ware,3088,6396559,0,1,1283,2,Dean England,ATV,-1716072,Approved,Consumer,Non-Interest Bearing,79802548
53,5/19/2023,Wyoming,Robin Benson,7510,2670859,2,1,132,2,Dean England,ATV,-1773874,Declined,Consumer,Non-Interest Bearing,94558404
54,12/15/2021,Illinois,Cecilia Estes,2218,1990697,2,16,356,4,Dean England,ATV,-1576162,Withdrawn,Consumer,Non-Interest Bearing,60085516
55,12/17/2022,Kansas,Joshua Cannon,3710,8908972,3,17,1495,3,Dean England,ATV,-1711482,Approved,Consumer,Non-Interest Bearing,59470668
56,1/19/2022,Georgia,Kenneth Noble,3823,2847122,5,17,543,2,Dean England,ATV,-730406,Declined,Consumer,Non-Interest Bearing,94924398
57,12/3/2021,Alaska,Illiana Myers,3406,8330478,2,5,114,2,Dean England,ATV,-1174945,Withdrawn,Consumer,Non-Interest Bearing,69540021
58,7/20/2023,Virginia,Calvin Stuart,4289,7647239,0,13,96,1,Dean England,ATV,-1232831,Approved,Consumer,Non-Interest Bearing,63707446
59,1/15/2022,Montana,Angelica Mejia,4336,4988676,3,13,829,4,Dean England,ATV,-1379207,Declined,Consumer,Non-Interest Bearing,81295848
60,11/26/2021,Iowa,Willa Baldwin,4412,8071852,1,11,123,2,Dean England,ATV,-1145215,Withdrawn,Consumer,Non-Interest Bearing,82872031
61,4/4/2022,Mississippi,Nigel Mooney,6788,5935147,2,8,1111,6,Dean England,ATV,-1360362,Approved,Consumer,Non-Interest Bearing,72561650
62,3/23/2023,Florida,Jamalia Nunez,7520,1917726,3,11,1326,7,Dean England,ATV,-1223571,Declined,Consumer,Non-Interest Bearing,90471761
63,2/5/2023,Connecticut,Stacey Ellis,4170,8595498,4,6,1490,6,Dean England,ATV,-890563,Withdrawn,Consumer,Non-Interest Bearing,85375717
