card_id,account_id,customer_id,card_type,card_number,card_limit,issued_date,valid_date,card_sub_type
1,,23805,CREDIT,1681422605666954,4644,2022-05-31 18:49:59,2025-05-31 18:49:59,Travel
2,28404,,DEBIT,4823333339960848,,2022-10-28 15:08:58,2026-10-28 15:08:58,MasterCard
3,,14710,CREDIT,2250752544363678,8707,2022-02-03 18:41:28,2025-02-03 18:41:28,Shopping
4,20065,,DEBIT,8734121849828039,,2021-10-16 08:44:54,2025-10-16 08:44:54,Visa
5,32001,,DEBIT,5835212029128893,,2023-01-28 02:58:35,2027-01-28 02:58:35,MasterCard
6,,22547,CREDIT,803553541567333,8662,2020-07-01 12:14:15,2023-07-01 12:14:15,Business
7,,4335,CREDIT,3402469101063198,6984,2022-05-06 13:00:48,2025-05-06 13:00:48,Travel
8,18452,,DEBIT,8979322824050282,,2021-03-27 02:16:26,2025-03-27 02:16:26,American Express
9,3463,,DEBIT,227719835822984,,2022-11-09 13:39:47,2026-11-09 13:39:47,Visa
10,,10017,CREDIT,2444760067381680,3854,2023-05-22 01:15:47,2026-05-22 01:15:47,Business
11,,15113,CREDIT,456662531716341,4251,2021-10-23 01:41:39,2024-10-23 01:41:39,Shopping
12,,5401,CREDIT,486648190664323,6543,2021-07-28 18:06:37,2024-07-28 18:06:37,Shopping
13,2378,,DEBIT,4041863963699660,,2022-12-30 03:00:17,2026-12-30 03:00:17,American Express
14,,28376,CREDIT,6842075617360643,2405,2022-11-21 19:20:42,2025-11-21 19:20:42,Business
15,,10107,CREDIT,2169275528441306,6827,2021-06-17 07:45:00,2024-06-17 07:45:00,Travel
16,36539,,DEBIT,6508793228898699,,2021-01-14 18:41:58,2025-01-14 18:41:58,Visa
17,,2580,CREDIT,9963850471868789,6148,2023-01-08 19:10:41,2026-01-08 19:10:41,Business
18,,10752,CREDIT,9828881262761034,7696,2023-01-15 18:35:07,2026-01-15 18:35:07,Shopping
19,27098,,DEBIT,3230151858156595,,2021-01-31 03:30:38,2025-01-31 03:30:38,Discover
20,,23520,CREDIT,5491335011862491,8264,2022-10-31 19:10:36,2025-10-31 19:10:36,Business
21,25363,,DEBIT,8229541890322379,,2022-10-09 05:46:52,2026-10-09 05:46:52,Visa
22,7504,,DEBIT,5266500378513929,,2022-07-31 13:10:55,2026-07-31 13:10:55,American Express
23,,418,CREDIT,967026503473036,3471,2023-03-25 19:00:07,2026-03-25 19:00:07,Shopping
24,,577,CREDIT,4745378768054630,6599,2021-11-04 18:34:18,2024-11-04 18:34:18,Reward
25,38217,,DEBIT,6617548981545844,,2021-05-13 15:52:00,2025-05-13 15:52:00,Visa
26,,11147,CREDIT,6321734432224974,5060,2020-10-10 20:09:14,2023-10-10 20:09:14,Shopping
27,33557,,DEBIT,7777859468815068,,2021-08-28 09:27:12,2025-08-28 09:27:12,Discover
28,36617,,DEBIT,60150365100376,,2021-08-27 21:45:30,2025-08-27 21:45:30,UnionPay
29,38125,,DEBIT,193699070859742,,2020-07-28 22:54:02,2024-07-28 22:54:02,MasterCard
30,,22943,CREDIT,9846432034607062,8871,2021-11-04 20:45:38,2024-11-04 20:45:38,Travel
31,,4840,CREDIT,8623074669661881,4400,2022-08-31 10:01:10,2025-08-31 10:01:10,Shopping
32,11253,,DEBIT,9000130919045148,,2023-04-06 20:27:07,2027-04-06 20:27:07,MasterCard
33,,24079,CREDIT,8455713338058074,8039,2022-04-27 23:35:39,2025-04-27 23:35:39,Shopping
34,24825,,DEBIT,569005422273982,,2022-07-10 10:13:11,2026-07-10 10:13:11,MasterCard
35,11134,,DEBIT,526398507514826,,2021-02-18 18:44:44,2025-02-18 18:44:44,UnionPay
36,17447,,DEBIT,8330187709668151,,2021-04-14 07:01:01,2025-04-14 07:01:01,American Express
37,,23819,CREDIT,3259869978561278,5267,2022-06-15 22:29:30,2025-06-15 22:29:30,Business
38,,27297,CREDIT,6750672615937006,7883,2021-10-31 06:20:33,2024-10-31 06:20:33,Shopping
39,23508,,DEBIT,9012618764218028,,2020-11-01 12:22:33,2024-11-01 12:22:33,Visa
40,15657,,DEBIT,8766224444944016,,2022-11-19 18:29:56,2026-11-19 18:29:56,American Express
41,,20480,CREDIT,4605115396471583,9404,2021-07-28 20:48:08,2024-07-28 20:48:08,Shopping
42,26226,,DEBIT,6593047875719868,,2022-07-14 07:33:32,2026-07-14 07:33:32,UnionPay
43,,6686,CREDIT,9003821057630405,4720,2021-07-05 02:43:11,2024-07-05 02:43:11,Shopping
44,,11567,CREDIT,6266320012689805,8742,2020-07-03 10:06:32,2023-07-03 10:06:32,Reward
45,14842,,DEBIT,2144391257163524,,2022-09-18 15:37:45,2026-09-18 15:37:45,Visa
46,,27548,CREDIT,7826993986125751,5284,2022-12-25 22:35:13,2025-12-25 22:35:13,Business
47,,12113,CREDIT,1490757096568874,4399,2020-08-08 09:03:09,2023-08-08 09:03:09,Reward
48,,29023,CREDIT,9266956123591954,8965,2022-10-27 13:10:38,2025-10-27 13:10:38,Reward
49,11085,,DEBIT,8388183447749915,,2022-07-30 02:09:38,2026-07-30 02:09:38,MasterCard
50,21922,,DEBIT,4102818100035157,,2022-08-11 05:59:15,2026-08-11 05:59:15,Visa
51,28217,,DEBIT,7077851746070553,,2022-08-11 12:57:44,2026-08-11 12:57:44,American Express
52,,27159,CREDIT,8041563559896591,9797,2021-10-02 14:15:20,2024-10-02 14:15:20,Shopping
53,,24545,CREDIT,2485543367780310,4563,2023-04-23 10:24:52,2026-04-23 10:24:52,Travel
54,27789,,DEBIT,2543269547895760,,2021-12-29 12:50:46,2025-12-29 12:50:46,Visa
55,34715,,DEBIT,5592379420266291,,2023-05-17 09:39:46,2027-05-17 09:39:46,UnionPay
56,10053,,DEBIT,1444146917666364,,2021-11-27 08:21:03,2025-11-27 08:21:03,Discover
57,,8980,CREDIT,7794225866136066,2962,2021-01-20 22:16:21,2024-01-20 22:16:21,Business
58,,23378,CREDIT,8955100551825503,3753,2021-12-13 19:35:54,2024-12-13 19:35:54,Reward
59,7857,,DEBIT,2775259997522682,,2022-05-20 01:57:37,2026-05-20 01:57:37,UnionPay
60,,8559,CREDIT,5396047509966989,5393,2022-01-23 01:53:57,2025-01-23 01:53:57,Travel
61,29196,,DEBIT,8504656710984816,,2020-07-21 19:45:15,2024-07-21 19:45:15,American Express
62,,26994,CREDIT,9155410002793142,6391,2023-06-17 20:13:59,2026-06-17 20:13:59,Shopping
63,27838,,DEBIT,8225865738921168,,2020-11-25 11:36:46,2024-11-25 11:36:46,MasterCard
64,,29368,CREDIT,7692928179251763,8962,2022-10-15 12:31:12,2025-10-15 12:31:12,Business
65,27495,,DEBIT,8586373595650347,,2021-03-15 22:28:15,2025-03-15 22:28:15,MasterCard
66,22259,,DEBIT,3486140004196340,,2022-10-02 08:58:44,2026-10-02 08:58:44,UnionPay
67,,20581,CREDIT,228789919281961,8651,2023-04-19 00:53:35,2026-04-19 00:53:35,Reward
68,39314,,DEBIT,6702523855733120,,2022-07-06 13:28:56,2026-07-06 13:28:56,UnionPay
69,,24736,CREDIT,9098596996126753,6558,2023-03-13 16:11:22,2026-03-13 16:11:22,Business
70,,3899,CREDIT,1918724474446953,3298,2021-04-15 14:02:30,2024-04-15 14:02:30,Shopping
71,,7035,CREDIT,6071650345331871,4915,2021-06-02 10:39:09,2024-06-02 10:39:09,Business
72,31796,,DEBIT,3132372224471951,,2021-12-22 23:51:39,2025-12-22 23:51:39,American Express
73,29480,,DEBIT,8955328600298795,,2020-08-02 10:12:03,2024-08-02 10:12:03,American Express
74,38729,,DEBIT,5661582359536444,,2020-12-18 16:55:14,2024-12-18 16:55:14,Discover
75,2339,,DEBIT,2407816080403693,,2021-03-25 13:33:21,2025-03-25 13:33:21,MasterCard
76,,24316,CREDIT,7655318831690476,6224,2022-07-27 06:37:12,2025-07-27 06:37:12,Business
77,,25876,CREDIT,5408671090272937,2724,2020-10-27 00:33:43,2023-10-27 00:33:43,Travel
78,24996,,DEBIT,6922212201346639,,2022-07-29 04:25:54,2026-07-29 04:25:54,American Express
79,,22777,CREDIT,1905387629310633,5171,2022-11-23 09:32:24,2025-11-23 09:32:24,Reward
80,,12269,CREDIT,6724903344066982,7945,2022-08-01 17:42:39,2025-08-01 17:42:39,Business
81,31109,,DEBIT,5164970017844950,,2022-09-08 09:04:23,2026-09-08 09:04:23,MasterCard
82,,2396,CREDIT,1398307464941969,9103,2023-05-22 23:35:17,2026-05-22 23:35:17,Travel
83,,6188,CREDIT,724532708936677,4339,2023-06-17 15:09:53,2026-06-17 15:09:53,Reward
84,,20404,CREDIT,3342235203824696,5921,2022-03-12 22:53:16,2025-03-12 22:53:16,Reward
85,16983,,DEBIT,1120926238154855,,2022-09-28 22:26:40,2026-09-28 22:26:40,UnionPay
86,,28607,CREDIT,5120768257924978,5774,2023-03-25 10:00:34,2026-03-25 10:00:34,Business
87,,27111,CREDIT,9798637365816904,2758,2022-04-20 16:54:39,2025-04-20 16:54:39,Shopping
88,6487,,DEBIT,2863837377872587,,2021-05-24 19:53:15,2025-05-24 19:53:15,UnionPay
89,9731,,DEBIT,5341080890718873,,2023-05-09 19:31:13,2027-05-09 19:31:13,American Express
90,31007,,DEBIT,9361656053520870,,2020-09-09 03:54:34,2024-09-09 03:54:34,Discover
91,6486,,DEBIT,514573681822938,,2022-10-11 17:17:11,2026-10-11 17:17:11,MasterCard
