account_id,customer_id,account_type_id,branch_id,account_open_date,account_close_date,account_status,created_by,updated_by,created_date,updated_date,account_number,ACCOUNT_APPLICATION_ID
1,17175,3,26839,2019-07-15,2022-05-11,Close,Jessica Andersen,Kerri Simon,2022-10-26,2020-12-17,3576210252,1
2,47082,16,3411,2021-09-01,,Open,Sarah Weber,Stephen Strickland,2018-06-17,2022-08-06,9181875435,7
3,67504,13,15067,2019-09-28,2023-05-06,Close,Michael Peterson,Charles Graves,2020-08-24,2022-10-27,1246845289,8
4,23299,6,15104,2018-12-29,,Open,Timothy Jones,Brandon Vasquez,2021-03-17,2020-11-26,1605825481,9
5,12972,4,25877,2021-07-09,,Open,Heather Pierce,Lindsey Mills,2022-02-19,2023-01-01,9942473637,18
6,11955,10,10608,2022-11-16,2023-02-13,Close,Krystal Ramirez,Melinda Houston,2022-06-08,2022-10-08,2060160291,19
7,63610,3,23960,2021-09-26,2022-05-03,Close,Gregory Bird,Michael Smith,2021-06-11,2023-04-03,7530930817,22
8,95309,7,3058,2023-06-11,,Open,Theresa Marshall,Dennis Hunter,2018-08-07,2021-07-26,7262998910,26
9,98137,11,11905,2021-04-03,,Open,James Bailey,Jason Moore,2018-06-18,2021-02-01,9514012036,27
10,44362,6,7647,2020-03-02,,Open,Michael Edwards,Wanda Schmidt,2021-11-08,2023-03-20,7172055654,28
11,74245,16,9944,2018-12-07,,Open,Priscilla Miller,Shannon Collins,2021-06-28,2023-05-15,5145715373,33
12,97286,2,22088,2018-01-07,2020-09-10,Close,Rebecca Dunlap,Leonard Gray,2019-02-22,2022-05-09,8213416185,34
13,84051,16,5786,2023-06-05,2023-06-12,Close,Dennis Burns,Troy Butler,2021-10-13,2022-12-31,468628648,38
14,25974,16,18012,2021-11-24,2022-09-19,Close,John Kelly,Jeffrey Gutierrez,2022-08-07,2020-10-22,1287234292,41
15,79694,5,27120,2020-07-09,,Open,Robert Hall,Hannah Curry,2020-04-15,2022-02-08,1115792508,43
16,11897,11,13976,2019-01-20,2021-02-06,Close,Sarah Johnson,Andrew Garcia,2018-11-24,2021-08-26,7329416443,46
17,60707,17,20395,2019-11-23,2020-11-28,Close,Jonathan York,Darlene Ramos,2022-05-14,2023-01-18,1047895447,54
18,61018,6,5976,2019-09-20,,Open,Wendy Smith,Michelle Gould,2020-01-11,2022-04-25,447007767,59
19,37711,4,8228,2023-02-15,2023-06-05,Close,Justin Franklin,Kent Ewing,2020-11-23,2021-07-27,3993209943,62
20,87375,6,15588,2023-01-27,2023-03-12,Close,Veronica Gonzales,Diane Sharp,2018-07-27,2023-05-29,8007765374,71
21,80074,10,14245,2021-09-25,,Open,Thomas Taylor,Regina Matthews,2018-08-10,2023-01-06,8381690146,72
22,63365,8,309,2018-03-14,2022-06-09,Close,Alvin Armstrong,Shelby Costa,2022-03-20,2022-08-16,7256460786,79
23,65496,10,28199,2020-03-09,,Open,Derrick Cortez,Dennis Moore,2018-05-03,2022-04-05,3620027712,82
24,95229,10,3603,2018-12-14,2022-01-30,Close,Mrs. Ashley Graham,Jesse Downs,2021-04-18,2021-09-03,4686230796,83
25,49142,7,2171,2022-07-17,,Open,Diana Juarez,Cindy Day,2019-05-27,2021-12-04,1266343431,84
26,19672,9,17186,2019-11-23,2020-08-17,Close,Kathy Reeves,Heather Pitts,2018-01-04,2020-10-26,9547984586,88
27,34483,6,23620,2019-05-07,,Open,Brenda Williams,Mr. Kristopher Hubbard,2021-12-27,2021-12-30,2937547177,92
28,16775,13,10984,2022-06-20,2023-01-05,Close,Victoria Richmond,William Wright,2019-08-07,2021-12-24,7882677663,97
29,57750,13,6617,2019-01-16,,Open,Leslie Davis,Alexis Flynn,2023-03-27,2021-05-14,3917805382,106
30,88503,14,15726,2021-11-30,2022-06-17,Close,Stephanie Pierce,Kathryn Roberts,2023-01-25,2022-12-24,1628649665,111
31,7677,2,22239,2018-10-19,2019-04-24,Close,Marcus Horton,Sara White,2019-02-27,2021-07-19,6202949989,112
32,5044,13,6324,2021-09-21,2021-09-23,Close,Francis Thompson,Sierra Kim,2020-09-25,2023-02-25,464947437,114
33,37032,9,16657,2020-07-01,2020-11-20,Close,Jonathan Brown,Amanda Ho,2019-07-20,2021-07-04,3697380513,117
34,90679,18,18472,2019-03-21,,Open,Linda Humphrey,Stephanie Tran,2020-03-11,2021-11-11,5225661673,118
35,84482,17,4200,2018-03-31,2018-04-25,Close,Adam Parker,Elizabeth Adams,2020-12-23,2021-10-09,5354515402,119
36,74140,18,11391,2020-01-28,,Open,Jason Walsh,Taylor Harvey,2022-07-22,2023-06-12,8583562427,125
37,92513,15,22982,2021-10-06,,Open,Chad Yang,Alexander Hobbs,2021-04-15,2022-03-15,8389588959,130
38,62827,12,1014,2023-02-27,2023-03-20,Close,Danny Reilly,Monique Martinez,2022-11-30,2022-06-25,2651130176,132
39,61218,5,588,2021-07-04,2021-07-24,Close,Rachel Roth,Lisa Barr,2020-11-03,2021-10-31,8501667877,134
40,16053,13,5413,2023-01-18,2023-02-12,Close,Peter Pearson,James Brown,2019-07-13,2022-03-15,418176984,135
41,78188,4,6500,2021-07-13,,Open,John Torres,Robin Pitts,2019-09-12,2020-12-06,4880065069,136
42,81801,12,13295,2022-07-28,2023-03-26,Close,Brandon Suarez,Brian Mcdaniel,2018-05-14,2023-06-21,4889563580,138
43,93090,5,641,2018-10-15,2022-07-09,Close,Joseph Clark,Kenneth Fletcher,2018-01-03,2020-11-27,6917953789,143
44,43701,3,6882,2022-05-03,,Open,Timothy Garcia,Terrance Wang,2023-01-17,2021-08-26,6800064077,144
45,54743,17,22000,2021-07-09,2022-05-25,Close,Kelly Wallace,Thomas Odonnell,2021-08-25,2021-09-23,3584208445,146
46,1487,16,24167,2018-01-21,,Open,Laura Chang,James Collins,2019-09-22,2021-05-01,3413638694,153
47,87108,11,2976,2018-12-01,,Open,Susan Morales,Jerry Colon,2020-08-31,2020-12-26,5557807518,156
48,90121,7,28647,2019-08-27,,Open,Kevin Jenkins,Lisa Walker,2021-06-12,2022-08-23,1989181191,165
49,59237,6,9832,2020-08-29,,Open,Lindsay Nelson,Christopher Simmons,2022-01-02,2021-09-29,397529061,166
50,1541,8,12840,2019-05-13,,Open,Julia Marquez,Stephanie Alvarado MD,2022-04-16,2022-10-19,2927566718,167
51,28417,7,7229,2020-12-22,,Open,Derek Brown,Sarah Beck,2018-06-30,2021-08-11,2482508248,182
52,50957,3,23683,2022-10-15,,Open,Steven Adams,Alexandra Garcia,2018-11-09,2023-06-19,5534406641,184
53,8540,16,8716,2021-11-17,2022-01-02,Close,William Randall,Anna Hughes,2019-01-21,2023-06-13,1538491647,186
54,48488,2,14753,2020-04-24,,Open,Devin Noble,Audrey Lambert,2023-04-02,2021-03-17,8008184106,189
55,21146,5,23940,2021-05-02,2023-05-26,Close,Mrs. Judith Washington,Robert Anderson,2022-08-09,2021-02-27,7188363888,193
56,17643,7,4446,2023-04-27,,Open,Sara Lee,Leslie Ramirez,2019-03-13,2021-12-06,80605861,202
57,31287,14,285,2023-05-23,2023-05-31,Close,Christine Johnson,Denise Nash,2019-09-02,2022-02-02,8576214325,207
58,7675,14,15767,2021-10-29,,Open,Whitney Flores,Kristina Hamilton,2021-06-06,2022-12-01,8496507621,208
59,40122,15,15547,2021-03-02,2022-10-15,Close,Kayla Haynes,Stacey Bowman,2020-10-27,2021-06-23,3614649847,211
60,14304,6,24114,2021-10-28,,Open,Christopher Dudley,John Gardner,2021-07-06,2021-05-22,9009874169,212
61,67206,8,22370,2018-03-27,,Open,Rebecca Martinez,William Morris,2018-07-31,2021-01-04,440974515,213
62,55841,5,9837,2022-12-24,,Open,Kiara Vance,Richard Smith,2019-04-05,2021-01-23,1275979784,214
63,55601,15,25868,2019-04-20,,Open,Kendra Brown,Nathan Orozco,2018-07-15,2021-05-31,8175633592,215
64,27276,15,3849,2022-12-02,,Open,Kimberly Nichols,Jennifer Wilkinson,2022-09-22,2021-08-11,8969704249,220
65,10054,2,5720,2018-03-31,,Open,John Roy,Kelly Lloyd,2019-07-15,2021-11-18,5382413525,222
66,12363,17,13320,2022-09-18,2022-09-28,Close,Douglas Jackson,Andrea Hughes,2022-06-28,2021-04-18,7974693311,223
67,27435,17,9740,2021-04-10,,Open,Leslie Cunningham,John Martin,2020-10-20,2021-03-14,3158459221,224
68,57005,10,15330,2018-01-21,,Open,Mark Thomas,Dr. Stephanie Watts,2021-06-15,2021-04-24,192090928,232
69,69288,11,8090,2019-11-22,,Open,Douglas Harper,Nicole Dixon,2019-11-29,2021-10-12,2186213857,234
70,2581,5,12251,2018-10-20,2021-01-15,Close,Jason Wilson,Leah Hooper,2020-04-03,2022-07-15,3122808784,236
71,83737,9,20656,2019-07-06,,Open,Jennifer Ramos,Marie Ball,2022-02-17,2022-07-15,2794162414,238
72,5247,16,21147,2021-02-18,,Open,Mr. William Greene,Ryan Eaton,2019-07-28,2022-02-23,6730642931,239
73,65759,14,25193,2018-03-25,2023-05-24,Close,Melissa Sellers,Sean Lee,2022-09-09,2023-01-10,7708351572,240
74,74817,16,19028,2021-12-23,2022-09-05,Close,Christine Anderson,Javier Fox,2020-04-10,2022-05-27,820252884,248
75,8969,1,15026,2022-02-15,2023-05-12,Close,Christopher Patrick,Isabella Reynolds MD,2019-02-17,2021-09-22,6056655775,251
76,83697,12,552,2019-10-31,,Open,Joseph Sharp,Christopher Marks DDS,2021-10-15,2023-03-23,662109533,253
77,27520,13,29489,2018-04-08,,Open,Kristie Patel,Hannah Hill,2020-07-11,2021-01-10,2231323555,254
78,82513,5,4384,2021-05-25,2022-07-20,Close,Justin Kirk,Martin Mora,2020-08-09,2023-05-26,4694882537,255
79,98785,15,15351,2021-05-28,2021-10-18,Close,Tiffany Johnson,Isaac Callahan,2021-04-08,2022-11-06,8935757944,257
80,2954,11,9201,2021-02-19,,Open,Christina Matthews,Sara Medina,2019-06-27,2022-03-19,2239045349,258
81,63501,1,11283,2020-06-02,2023-03-10,Close,Scott Blanchard,Edward Velasquez,2020-08-14,2022-03-16,3109662687,266
82,29398,2,3950,2018-01-24,2019-08-23,Close,John Mcgrath,Kimberly Brown,2018-01-30,2021-04-03,1627404257,267
83,445,14,12681,2019-11-19,,Open,Jonathan Cook,Karen Hensley,2020-12-12,2022-12-10,7084697005,268
