card_id,account_id,customer_id,card_type,card_number,card_limit,issued_date,valid_date,card_sub_type
1,27338,,DEBIT,8.24743E+15,,2020-09-06,2024-09-06,MasterCard
2,8056,,DEBIT,3.97922E+14,,2022-04-01,2026-04-01,MasterCard
3,15492,,DEBIT,5.57785E+14,,2022-10-12,2026-10-12,Discover
4,,97175,CREDIT,8.50326E+15,4961,2021-05-17,2024-05-17,Travel
5,,16403,CREDIT,7.70761E+15,7191,2020-07-11,2023-07-11,Reward
6,,23960,CREDIT,9.71891E+15,7844,2023-06-05,2026-06-05,Shopping
7,,43856,CREDIT,9.58825E+15,7541,2023-05-02,2026-05-02,Travel
8,2967,,DEBIT,8.83163E+15,,2021-12-15,2025-12-15,MasterCard
9,,89914,CREDIT,4.15959E+14,3728,2023-05-19,2026-05-19,Travel
10,,40798,CREDIT,6.44942E+15,3362,2022-02-22,2025-02-22,Shopping
11,9252,,DEBIT,7.83307E+15,,2021-08-20,2025-08-20,UnionPay
12,,47103,CREDIT,5.56027E+15,5575,2022-12-06,2025-12-06,Reward
13,,91200,CREDIT,9.9831E+15,8803,2023-04-19,2026-04-19,Reward
14,1137,,DEBIT,4.12031E+15,,2020-10-07,2024-10-07,UnionPay
15,,82051,CREDIT,5.62847E+15,8450,2022-11-27,2025-11-27,Reward
16,,49017,CREDIT,8.62746E+15,7797,2023-05-16,2026-05-16,Shopping
17,13981,,DEBIT,6.53082E+15,,2021-10-10,2025-10-10,American Express
18,,99301,CREDIT,5.12067E+15,9177,2022-09-27,2025-09-27,Reward
19,8373,,DEBIT,8.93354E+15,,2022-12-16,2026-12-16,MasterCard
20,4225,,DEBIT,9.88982E+15,,2023-05-19,2027-05-19,UnionPay
21,30948,,DEBIT,2.93899E+15,,2020-07-04,2024-07-04,American Express
22,6155,,DEBIT,3.8262E+15,,2021-03-04,2025-03-04,Visa
23,,48222,CREDIT,5.31124E+15,9747,2021-04-05,2024-04-05,Shopping
24,,94147,CREDIT,4.64952E+15,9023,2021-02-11,2024-02-11,Shopping
25,21283,,DEBIT,6.61557E+15,,2021-04-09,2025-04-09,MasterCard
26,1631,,DEBIT,6.87851E+15,,2022-11-11,2026-11-11,UnionPay
27,,27491,CREDIT,7.69273E+15,3967,2022-04-18,2025-04-18,Business
28,24418,,DEBIT,3.51383E+15,,2022-06-18,2026-06-18,Visa
29,,58076,CREDIT,2.21029E+15,8441,2022-04-01,2025-04-01,Business
30,,92807,CREDIT,2.20038E+15,8240,2023-02-16,2026-02-16,Shopping
31,8613,,DEBIT,3.14026E+15,,2023-04-13,2027-04-13,Discover
32,,74131,CREDIT,1.14006E+15,6111,2021-12-10,2024-12-10,Reward
33,,45759,CREDIT,3.70206E+15,9336,2021-01-25,2024-01-25,Shopping
34,2225,,DEBIT,7.63345E+15,,2020-12-31,2024-12-31,Visa
35,13348,,DEBIT,3.08506E+15,,2022-10-28,2026-10-28,American Express
36,16206,,DEBIT,8.24576E+14,,2022-07-20,2026-07-20,UnionPay
37,,98152,CREDIT,9.61109E+14,4147,2021-10-14,2024-10-14,Travel
38,28367,,DEBIT,6.98425E+15,,2021-09-15,2025-09-15,UnionPay
39,23118,,DEBIT,6.92382E+15,,2021-12-28,2025-12-28,MasterCard
40,,2370,CREDIT,5.83293E+15,8570,2020-12-11,2023-12-11,Reward
41,,77687,CREDIT,4.51139E+15,6645,2023-05-16,2026-05-16,Business
42,,4504,CREDIT,5.46056E+15,2706,2020-09-17,2023-09-17,Travel
43,1885,,DEBIT,5.93447E+15,,2021-03-29,2025-03-29,American Express
44,,65559,CREDIT,8.26215E+14,6342,2021-04-08,2024-04-08,Business
45,25049,,DEBIT,9.09192E+15,,2022-01-08,2026-01-08,MasterCard
46,,95794,CREDIT,3.1468E+15,5429,2021-04-29,2024-04-29,Travel
47,25451,,DEBIT,8.63213E+15,,2023-05-13,2027-05-13,UnionPay
48,25916,,DEBIT,3.01805E+15,,2022-09-30,2026-09-30,UnionPay
49,,13005,CREDIT,1.96233E+15,5699,2022-10-19,2025-10-19,Reward
50,4846,,DEBIT,9.21563E+15,,2021-01-03,2025-01-03,MasterCard
51,,2609,CREDIT,7.2614E+14,8591,2021-06-26,2024-06-26,Shopping
52,,94776,CREDIT,1.80356E+14,2401,2022-06-20,2025-06-20,Reward
53,,47170,CREDIT,3.83762E+15,9358,2021-01-04,2024-01-04,Travel
54,32762,,DEBIT,9.33152E+15,,2022-07-03,2026-07-03,Visa
55,,96905,CREDIT,5.66186E+15,6427,2022-05-16,2025-05-16,Shopping
56,,71112,CREDIT,6.81038E+15,3484,2022-07-25,2025-07-25,Travel
57,,2847,CREDIT,2.5932E+15,9765,2020-07-23,2023-07-23,Shopping
58,1478,,DEBIT,3.87087E+15,,2023-03-02,2027-03-02,Discover
59,,12949,CREDIT,1.76026E+15,3041,2022-11-12,2025-11-12,Shopping
60,2941,,DEBIT,5.32236E+15,,2021-09-28,2025-09-28,American Express
61,,54173,CREDIT,5.84365E+15,9812,2021-01-24,2024-01-24,Travel
62,,48523,CREDIT,2.97034E+15,7819,2020-10-26,2023-10-26,Business
63,24380,,DEBIT,2.6733E+15,,2020-07-28,2024-07-28,UnionPay
